Number,Easting,Northing,Elevation,Code
2847,479935.1435,1848899.667,345.9536,SP
2848,479969.0493,1848915.533,340.0808,SP
2849,480015.1732,1848931.841,327.4863,SP
2850,481274.692,1848663.487,345.133,
2851,481274.7661,1848663.61,345.136,TEST GNSS04
2852,481679.6503,1848293.259,358.481,SP
2853,481706.9929,1848301.23,364.3468,SP
2854,481728.7953,1848307.507,370.6248,SP
2855,481759.4719,1848320.005,375.5731,SP
2856,481789.5466,1848330.696,384.2216,SP
2857,481826.4715,1848341.323,398.7784,SP
2858,481854.2011,1848345.268,415.2329,SP
2859,481878.8838,1848361.706,430.2171,SP
2860,481910.7878,1848372.669,438.7142,SP
2861,481926.4885,1848379.957,440.0635,SP
2862,481930.5176,1848368.896,437.6781,SP
2863,481937.2378,1848352.406,433.54,SP
2864,481942.1726,1848327.726,431.5952,SP
2865,481949.4005,1848307.925,434.2431,SP
2866,481953.7987,1848289.199,439.4125,SP
2867,481948.1434,1848281.92,442.5346,SP
2868,481928.9185,1848274.067,441.6354,SP
2869,481911.8277,1848262.256,437.8069,SP
2870,481977.2081,1848241.853,459.8558,SP
2871,481974.6486,1848252.544,457.2295,SP
2872,481985.8882,1848219.678,456.794,SP
2873,481996.9344,1848194.906,449.2361,SP
2874,481990.7307,1848188.718,444.6895,SP
2875,481985.9449,1848187.496,441.9539,SP
2876,481969.3063,1848181.598,449.3656,SP
2877,481940.0976,1848167.329,453.4102,SP
2878,481921.5314,1848162.775,445.88,SP
2879,481898.5067,1848161.82,435.8276,SP
2880,481883.3915,1848149.951,425.9475,SP
2881,481876.3684,1848145.388,421.7409,SP
2882,481854.6443,1848132.693,403.0809,SP
2883,481837.7954,1848127.966,390.1197,SP
2884,481816.1578,1848114.208,373.4717,SP
2885,481810.6219,1848109.787,369.3574,SP
2886,481798.6346,1848093.573,357.4522,SP
2887,481779.8166,1848084.327,347.9438,SP
2888,481731.0153,1848093.915,330.7945,SP
2889,481732.4391,1848094.854,331.2221,SP
2890,481733.1419,1848095.313,332.4823,SP
2891,481729.0257,1848093.652,330.114,SP
2892,481729.1467,1848093.604,330.4377,WL
2893,481667.6406,1848174.433,340.7994,SP
2894,481666.0845,1848173.755,340.782,SP
2895,481681.159,1848186.145,339.9148,SP
2896,481701.6285,1848206.125,341.0344,SP
2897,481729.8091,1848210.354,353.5323,SP
2898,481693.9463,1848398.951,350.3132,SP
2899,481700.2801,1848400.376,352.0302,SP
2900,481712.299,1848405.432,356.4404,SP
2901,481725.6351,1848409.158,359.9615,SP
2902,481740.1061,1848414.992,364.1892,SP
2903,481771.742,1848426.091,370.972,SP
2904,481795.9741,1848431.935,376.3999,SP
2905,481826.0244,1848450.287,383.9023,SP
2906,481847.6153,1848454.42,392.8709,SP
2907,481863.5928,1848463.653,401.4096,SP
2908,481865.2666,1848481.694,404.6314,SP
2909,481869.1932,1848500.397,409.9566,SP
2910,481871.3089,1848515.761,410.4357,SP
2911,481861.1454,1848533.891,403.4022,SP
2912,481843.0449,1848548.89,388.9741,SP
2913,481837.4653,1848545.709,387.1088,SP
2914,481832.7306,1848550.29,383.4889,SP
2915,481819.3773,1848548.498,377.5121,SP
2916,481806.9732,1848548.227,372.7205,SP
2917,481796.0539,1848546.682,368.7624,SP
2918,481776.2112,1848534.16,362.9652,SP
2919,481758.7099,1848531.486,359.1475,SP
2920,481734.4815,1848520.256,355.7592,SP
2921,481722.9491,1848514.563,350.7746,SP
2922,481704.9318,1848510.12,344.5066,SP
2923,481680.3466,1848500.493,341.1934,SP
2924,480257.366,1848679.705,349.2818,
2925,480257.2267,1848679.709,349.2588,TEST GNSS02
2926,480135.479,1848622.356,335.3284,SP
2927,480135.4071,1848602.82,336.8567,SP
2928,480142.1069,1848584.137,335.4602,SP
2929,480151.6719,1848559.534,338.1532,SP
2930,480136.8405,1848552.171,344.4535,SP
2931,480118.6672,1848545.63,349.0896,SP
2932,480087.5641,1848534.142,355.6447,SP
2933,480081.9377,1848536.305,355.276,SP
2934,480065.9812,1848525.324,362.1344,SP
2935,480019.7267,1848514.556,377.9658,SP
2936,479979.463,1848490.666,393.3341,SP
2937,479935.4325,1848476.572,402.0649,SP
2938,479889.4033,1848468.282,402.7369,SP
2939,479866.3783,1848458.848,393.496,SP
2940,479794.9558,1848641.761,399.9748,SP
2941,479781.1699,1848633.343,394.5929,SP
2942,479764.7014,1848632.359,386.8529,SP
2943,479816.3747,1848647.518,402.7412,SP
2944,479850.331,1848659.239,392.7294,SP
2945,479875.8674,1848670.45,383.3689,SP
2946,479893.8656,1848676.774,376.5215,SP
2947,479905.6439,1848682.495,371.7198,SP
2948,479913.8417,1848687.421,368.4561,SP
2949,479931.1908,1848690.089,367.8001,SP
2950,479961.8915,1848701.563,357.0552,SP
